wave330	wave331
2720.5	0.273806
2721	0.273897
2721.5	0.273745
2722	0.273378
2722.5	0.273378
2723	0.273409
2723.5	0.27347
2724	0.273531
2724.5	0.27347
2725	0.273439
2725.5	0.273409
2726	0.273104
2726.5	0.273043
2727	0.27289
2727.5	0.272799
2728	0.272707
2728.5	0.272585
2729	0.272707
2729.5	0.272738
2730	0.272707
2730.5	0.272402
2731	0.272341
2731.5	0.272341
2732	0.272463
2732.5	0.272615
2733	0.27289
2733.5	0.272951
2734	0.272921
2734.5	0.272768
2735	0.272738
2735.5	0.272463
2736	0.272219
2736.5	0.272676
2737	0.273073
2737.5	0.273256
2738	0.273073
2738.5	0.273043
2739	0.272768
2739.5	0.272799
2740	0.272982
2740.5	0.27289
2741	0.272707
2741.5	0.272463
2742	0.272463
2742.5	0.272615
2743	0.272402
2743.5	0.272554
2744	0.272799
2744.5	0.273195
2745	0.273073
2745.5	0.27289
2746	0.272829
2746.5	0.272646
2747	0.272341
2747.5	0.272432
2748	0.272493
2748.5	0.272738
2749	0.272768
2749.5	0.272554
2750	0.272615
2750.5	0.272432
2751	0.272158
2751.5	0.272402
2752	0.272585
2752.5	0.272799
2753	0.272463
2753.5	0.272219
2754	0.272524
2754.5	0.272646
2755	0.272585
2755.5	0.272524
2756	0.272585
2756.5	0.272524
2757	0.272341
2757.5	0.272493
2758	0.272676
2758.5	0.272738
2759	0.272615
2759.5	0.272493
2760	0.27228
2760.5	0.272036
2761	0.271761
2761.5	0.271547
2762	0.271914
2762.5	0.271822
2763	0.271517
2763.5	0.271486
2764	0.271578
2764.5	0.271761
2765	0.271669
2765.5	0.271547
2766	0.271547
2766.5	0.271578
2767	0.271578
2767.5	0.271517
2768	0.271761
2768.5	0.272127
2769	0.272188
2769.5	0.272219
2770	0.272249
2770.5	0.272493
2771	0.272554
2771.5	0.272524
2772	0.272463
2772.5	0.272402
2773	0.272707
2773.5	0.272829
2774	0.272646
2774.5	0.272799
2775	0.273104
2775.5	0.272951
2776	0.27289
2776.5	0.272707
2777	0.272707
2777.5	0.272768
2778	0.272951
2778.5	0.273348
2779	0.273256
2779.5	0.27289
2780	0.272707
2780.5	0.272738
2781	0.272707
2781.5	0.27286
2782	0.272707
2782.5	0.272738
2783	0.272768
2783.5	0.272707
2784	0.27289
2784.5	0.272799
2785	0.272738
2785.5	0.272768
2786	0.273134
2786.5	0.273256
2787	0.272982
2787.5	0.272738
2788	0.272676
2788.5	0.272982
2789	0.273256
2789.5	0.273287
2790	0.273195
2790.5	0.273104
2791	0.273012
2791.5	0.273134
2792	0.27347
2792.5	0.2735
2793	0.273439
2793.5	0.273561
2794	0.2735
2794.5	0.273195
2795	0.273043
2795.5	0.272738
2796	0.272738
2796.5	0.272768
2797	0.272463
2797.5	0.272615
2798	0.272768
2798.5	0.272646
2799	0.272585
2799.5	0.272799
2800	0.272707
2800.5	0.272402
2801	0.272219
2801.5	0.272219
2802	0.272249
2802.5	0.272188
2803	0.272005
2803.5	0.27173
2804	0.271578
2804.5	0.271547
2805	0.271303
2805.5	0.271395
2806	0.271364
2806.5	0.27051
2807	0.269594
2807.5	0.269106
2808	0.268435
2808.5	0.267641
2809	0.267305
2809.5	0.267122
2810	0.266787
2810.5	0.266512
2811	0.266634
2811.5	0.266909
2812	0.267122
2812.5	0.267061
2813	0.267244
2813.5	0.268007
2814	0.269014
2814.5	0.270052
2815	0.270601
2815.5	0.271059
2816	0.271395
2816.5	0.271334
2817	0.271669
2817.5	0.272127
2818	0.272188
2818.5	0.272097
2819	0.272066
2819.5	0.272036
2820	0.272188
2820.5	0.272493
2821	0.272738
2821.5	0.272524
2822	0.272371
2822.5	0.272371
2823	0.272585
2823.5	0.272799
2824	0.272707
2824.5	0.272371
2825	0.27231
2825.5	0.272371
2826	0.272402
2826.5	0.272341
2827	0.27228
2827.5	0.272463
2828	0.272646
2828.5	0.272768
2829	0.272707
2829.5	0.272921
2830	0.272921
2830.5	0.27286
2831	0.272951
2831.5	0.273012
2832	0.273134
2832.5	0.273317
2833	0.273104
2833.5	0.272829
2834	0.272585
2834.5	0.272493
2835	0.272341
2835.5	0.272219
2836	0.272005
2836.5	0.271791
2837	0.271669
2837.5	0.271578
2838	0.271395
2838.5	0.27109
2839	0.270906
2839.5	0.270632
2840	0.270113
2840.5	0.269747
2841	0.269381
2841.5	0.269167
2842	0.268373
2842.5	0.267519
2843	0.266756
2843.5	0.266237
2844	0.265657
2844.5	0.265291
2845	0.26523
2845.5	0.265291
2846	0.264986
2846.5	0.264986
2847	0.265017
2847.5	0.265047
2848	0.2652
2848.5	0.265718
2849	0.266237
2849.5	0.267183
2850	0.267763
2850.5	0.268496
2851	0.269289
2851.5	0.26996
2852	0.270266
2852.5	0.270449
2853	0.270937
2853.5	0.271212
2854	0.271273
2854.5	0.271578
2855	0.271852
2855.5	0.271975
2856	0.271883
2856.5	0.271883
2857	0.272036
2857.5	0.272371
2858	0.272371
2858.5	0.271975
2859	0.271791
2859.5	0.271578
2860	0.271639
2860.5	0.271914
2861	0.271883
2861.5	0.271761
2862	0.271608
2862.5	0.271395
2863	0.271181
2863.5	0.270906
2864	0.27054
2864.5	0.269991
2865	0.26993
2865.5	0.270144
2866	0.270479
2866.5	0.270449
2867	0.269747
2867.5	0.270021
2868	0.270449
2868.5	0.270449
2869	0.27054
2869.5	0.270815
2870	0.271181
2870.5	0.271547
2871	0.271822
2871.5	0.272097
2872	0.272463
2872.5	0.272524
2873	0.272432
2873.5	0.272738
2874	0.272554
2874.5	0.272524
2875	0.27231
2875.5	0.272341
2876	0.272219
2876.5	0.272554
2877	0.272646
2877.5	0.272341
2878	0.272432
2878.5	0.272524
2879	0.272676
2879.5	0.272738
2880	0.272371
2880.5	0.272036
2881	0.272005
2881.5	0.272066
2882	0.271944
2882.5	0.271883
2883	0.271914
2883.5	0.272066
2884	0.272005
2884.5	0.271608
2885	0.271334
2885.5	0.270998
2886	0.270479
2886.5	0.270021
2887	0.269899
2887.5	0.270144
2888	0.270174
2888.5	0.270235
2889	0.270296
2889.5	0.270327
2890	0.270113
2890.5	0.27051
2891	0.27112
2891.5	0.271273
2892	0.27109
2892.5	0.270906
2893	0.271303
2893.5	0.271791
2894	0.272097
2894.5	0.272097
2895	0.272158
2895.5	0.27228
2896	0.27228
2896.5	0.271914
2897	0.271914
2897.5	0.272097
2898	0.272219
2898.5	0.272158
2899	0.271944
2899.5	0.271608
2900	0.271517
2900.5	0.271334
2901	0.270998
2901.5	0.270906
2902	0.271029
2902.5	0.270601
2903	0.270205
2903.5	0.270205
2904	0.269533
2904.5	0.268221
2905	0.267214
