method,n_points,mean_RMSE,std_RMSE,n_spectra
Adaptive,10,0.01167909371821832,0.014965301676878382,40
Adaptive,11,0.004292629871684575,0.00434818002181003,40
Adaptive,12,0.0033336832052988747,0.003097206682666217,40
Adaptive,13,0.002385162935587295,0.002804871490268919,40
Adaptive,14,0.0022108617034230626,0.0025358045733738952,40
Adaptive,15,0.0015219989178225624,0.0010971997164404567,40
Adaptive,16,0.00131526808280615,0.000753070768127049,40
Adaptive,17,0.0012834728385448999,0.000802197711636206,40
Adaptive,18,0.0011390749610730327,0.0007886597893181433,40
Adaptive,19,0.0010702121614957426,0.0007418177163944447,40
Adaptive,20,0.0009710387838523999,0.0007462597016810891,40
Adaptive,21,0.0009185857591168705,0.0007450614927953042,40
Adaptive,22,0.0008683914199870671,0.000767390237865749,40
Adaptive,23,0.0007288497378896815,0.0006452324591035018,40
Adaptive,24,0.0005387448111925073,0.0003789030313272245,40
Adaptive,25,0.0004650326311948125,0.0003351839607452489,40
Adaptive,26,0.0004214454961649681,0.00032244605065044895,40
Adaptive,27,0.00044590180909688727,0.00037970265712786297,40
Adaptive,28,0.0004251864248859914,0.0003816437413360611,40
Adaptive,29,0.00041383927164335456,0.00038681339361727605,40
Adaptive,30,0.00038319929139955827,0.000327079582418996,40
Adaptive,31,0.00037646755243188736,0.00034970323556529495,40
Adaptive,32,0.00034217961954538376,0.00031781996171446924,40
Adaptive,33,0.00033663016151444617,0.00031437516407759703,40
Adaptive,34,0.00030219103729332267,0.0003145563939764672,40
Adaptive,35,0.0002961307110953079,0.000306662760256359,40
Adaptive,36,0.0002883324624460609,0.0002937581893222899,40
Adaptive,37,0.00028654195776297117,0.00029196536964522436,40
Adaptive,38,0.000257343827639116,0.00023988154070187507,40
Adaptive,39,0.0002470166642946329,0.00023238883216878924,40
Adaptive,40,0.0002382317876993897,0.00021142073208707115,40
Adaptive,41,0.00023466395629651867,0.00021127257774270506,40
Adaptive,42,0.00023678607124062866,0.0001974139494863071,40
Adaptive,43,0.00023770293441401788,0.00019479571821048598,40
Adaptive,44,0.00022515124525226336,0.00018252169789344198,40
Adaptive,45,0.00022279772620461747,0.00017963797243310365,40
Adaptive,46,0.00021540639932973233,0.0001696587347528026,40
Adaptive,47,0.0002114647373366157,0.00017009375353035073,40
Adaptive,48,0.00020503169380715246,0.00016068823658091234,40
Adaptive,49,0.00020096633630009046,0.00016503867058879944,40
Adaptive,50,0.00019199567757189235,0.0001486761610597734,40
Adaptive,51,0.00018939454163470221,0.00014520406947596593,40
Adaptive,52,0.00018819319020975563,0.00014107364162530301,40
Adaptive,53,0.0001812484947316439,0.0001325099715742921,40
Adaptive,54,0.00017583401538975085,0.00013073113740301226,40
Adaptive,55,0.00016739355741618667,0.00012965426644343724,40
Adaptive,56,0.00016347533851581477,0.0001280428961532012,40
Adaptive,57,0.0001592839264479672,0.0001278371568455846,40
Adaptive,58,0.00015832299325382052,0.00012488377611543362,40
Adaptive,59,0.00015843358631473974,0.00012533813146789715,40
Adaptive,60,0.00015805517248111594,0.00012327003362456646,40
Adaptive,61,0.00016090037685527784,0.0001247613752845243,40
Adaptive,62,0.0001591676266267849,0.00012421255082211278,40
Adaptive,63,0.00015967111491732832,0.0001216187738716536,40
Adaptive,64,0.00015471533065938926,0.0001176145895421982,40
Adaptive,65,0.00015541825396306048,0.00011690306960763993,40
Adaptive,66,0.00015277749096454608,0.00011343926928828021,40
Adaptive,67,0.00015378494250420285,0.00011358560110757729,40
Adaptive,68,0.00015464549711257207,0.00011129401261173575,40
Adaptive,69,0.0001530685531067497,0.00011141860870713566,40
